startLat,startLng,endLat,endLng,filename,duration,distance
31.22797223901206,121.52983688273144,31.224744425201774,121.52736842941209,file_0.csv,436,611
31.22797223901206,121.52983688273144,31.226017743496016,121.5304679919456,file_1.csv,276,387
31.22797223901206,121.52983688273144,31.22703572557978,121.53065046734177,file_2.csv,306,428
31.22797223901206,121.52983688273144,31.22572429592893,121.52002241109538,file_3.csv,904,1265
31.22797223901206,121.52983688273144,31.231080153242047,121.52015039007198,file_4.csv,948,1327
31.22797223901206,121.52983688273144,31.227035956815616,121.53074275035434,file_5.csv,191,267
31.22797223901206,121.52983688273144,31.236733447027095,121.53650908940247,file_6.csv,1096,1535
31.22797223901206,121.52983688273144,31.219722425555336,121.52531830625678,file_7.csv,1019,1426
31.22797223901206,121.52983688273144,31.219619109210022,121.52785840457751,file_8.csv,1007,1410
31.22797223901206,121.52983688273144,31.219107674071726,121.52876228281582,file_9.csv,1049,1468
31.22797223901206,121.52983688273144,31.218539637556123,121.53638123769585,file_10.csv,1119,1566
31.22797223901206,121.52983688273144,31.23040340337199,121.51442397443964,file_11.csv,1193,1670
31.22797223901206,121.52983688273144,31.230397971340512,121.51252840026403,file_12.csv,1430,2002
31.22797223901206,121.52983688273144,31.230422059799785,121.50809281447019,file_13.csv,1937,2712
31.22797223901206,121.52983688273144,31.23049515245614,121.50813596106364,file_14.csv,1942,2719
31.22797223901206,121.52983688273144,31.23313479333316,121.50774836571442,file_15.csv,1792,2509
31.22797223901206,121.52983688273144,31.237458239914243,121.50619749222636,file_16.csv,1848,2587
31.22797223901206,121.52983688273144,31.239958180459787,121.50826461910079,file_17.csv,1967,2754
31.22797223901206,121.52983688273144,31.242749966487484,121.52277611249701,file_18.csv,1542,2159
